id,jenis_usaha,judul,kbli,kementrian,perizinan,sub_kbli,uraian
1256,,"PERDAGANGAN ECERAN SUKU CADANG DAN AKSESORI MOBIL",45302,,,,"Kelompok ini mencakup usaha penjualan eceran berbagai suku cadang, komponen dan aksesori mobil yang terpisah dari perdagangannya, seperti karet ban dan ban dalam, busi mobil, baterai (aki), perlengkapan lampu dan bagian-bagian kelistrikan."
1257,,"PERDAGANGAN, REPARASI DAN PERAWATAN SEPEDA MOTOR DAN PERDAGANGAN SUKU CADANG DAN AKSESORINYA",454,,,,"Golongan ini mencakup perdagangan besar dan eceran sepeda motor dan moped serta suku cadang dan aksesorinya. Termasuk juga reparasi dan perawatan sepeda motor dan moped. Tidak dicakup disini perdagangan dan reparasi sepeda dan suku cadangnya serta aksesorinya."
1258,,"PERDAGANGAN, REPARASI DAN PERAWATAN SEPEDA MOTOR DAN PERDAGANGAN SUKU CADANG DAN AKSESORINYA",4540,,,,"Subgolongan ini mencakup :- Perdagangan besar dan eceran sepeda motor, termasuk moped- Perdagangan besar dan eceran suku cadang dan aksesori untuk sepeda motor (termasuk melalui agen komisi dan mail-order houses)- Reparasi dan perawatan sepeda motorSubgolongan ini tidak mencakup :- Perdagangan besar sepeda dan suku cadangnya serta aksesori yang berhubungan, lihat 4649- Perdagangan eceran sepeda dan suku cadangnya serta aksesori yang berhubungan, lihat 4763- Penyewaan sepeda motor, lihat 7731- Reparasi dan perawatan sepeda, lihat 9529"
1259,,"PERDAGANGAN BESAR SEPEDA MOTOR BARU",45401,,,,"Kelompok ini mencakup usaha perdagangan besar sepeda motor baru, termasuk motor sepeda atau moped."
1260,,"PERDAGANGAN BESAR SEPEDA MOTOR BEKAS",45402,,,,"Kelompok ini mencakup usaha perdagangan besar sepeda motor bekas, termasuk motor sepeda atau moped."
1261,,"PERDAGANGAN ECERAN SEPEDA MOTOR BARU",45403,,,,"Kelompok ini mencakup usaha penjualan eceran sepeda motor baru, termasuk motor sepeda atau moped."
1262,,"PERDAGANGAN ECERAN SEPEDA MOTOR BEKAS",45404,,,,"Kelompok ini mencakup usaha penjualan eceran sepeda motor bekas, termasuk motor sepeda atau moped."
1263,,"PERDAGANGAN BESAR SUKU CADANG SEPEDA MOTOR DAN AKSESORINYA",45405,,,,"Kelompok ini mencakup usaha perdagangan besar suku cadang sepeda motor dan aksesorinya."
1264,,"PERDAGANGAN ECERAN SUKU CADANG SEPEDA MOTOR DAN AKSESORINYA",45406,,,,"Kelompok ini mencakup usaha penjualan eceran suku cadang sepeda motor dan aksesorinya."
1265,,"REPARASI DAN PERAWATAN SEPEDA MOTOR",45407,,,,"Kelompok ini mencakup usaha pemeliharaan dan reparasi sepeda motor, termasuk pencucian sepeda motor dan usaha perawatan lainnya."
1266,,"PERDAGANGAN BESAR, BUKAN MOBIL DAN SEPEDA MOTOR",46,,,,"Golongan pokok ini mencakup perdagangan besar nasional dan internasional atas usaha sendiri atau atas dasar balas jasa atau kontrak (perdagangan komisi)."
1267,,"PERDAGANGAN BESAR ATAS DASAR BALAS JASA (FEE) ATAU KONTRAK",461,,,,"Golongan ini mencakup kegiatan dari agen, dan semua pedagang besar lainnya yang berdagang untuk orang lain atau membawa penjual dan pembeli bersama termasuk pada internet dan agen-agen serupa itu dalam menjual barang, mesin, kapal dan pesawat serta furnitur rumah tangga dan hardware, diantaranya. Golongan ini juga mencakup kegiatan rumah lelang untuk perdagangan besar."
1268,,"PERDAGANGAN BESAR ATAS DASAR BALAS JASA (FEE) ATAU KONTRAK",4610,,,,"Subgolongan ini mencakup :- Kegiatan agen komisi, makelar barang dan seluruh perdagangan besar lainnya yang menjual atas nama dan tanggungan pihak lain- Kegiatan yang mempertemukan penjual dan pembeli atau melakukan transaksi atas nama perusahaan, termasuk melalui internet- Agen penjualan bahan baku pertanian, binatang hidup, bahan baku tekstil dan barang setengah jadi- Agen penjualan bahan bakar, bijih-bijihan, logam dan industri kimia, termasuk pupuk- Agen penjualan makanan, minuman dan tembakau- Agen penjualan tekstil, pakaian, bulu, alas kaki dan barang dari kulit- Agen penjualan kayu-kayuan dan bahan bangunan- Agen penjualan mesin, termasuk mesin kantor dan komputer, perlengkapan industri, kapal, pesawat- Agen penjualan furnitur, barang keperluan rumah tangga dan perangkat keras- Kegiatan rumah lelang untukperdagangan besar- Agen komisi zat radioaktif dan pembangkit radiasi pengionSubgolongan ini tidak mencakup :- Kegiatan agen komisi untuk mobil, lihat 4510- Lelang mobil, lihat 4510- Perdagangan besar atas nama sendiri, lihat 462 s.d. 469- Perdagangan eceran oleh agen komisi non-store, lihat 4792 - Kegiatan agen asuransi, lihat 6622- Kegiatan agen real estat, lihat 6820"
1269,,"PERDAGANGAN BESAR ATAS DASAR BALAS JASA (FEE) ATAU KONTRAK",46100,,,,"Kelompok ini mencakup usaha agen yang menerima komisi, perantara (makelar), pelelangan, dan pedagang besar lainnya yang memperdagangkan barang-barang di dalam negeri, luar negeri atas nama pihak lain. Kegiatannya antara lain agen komisi, broker barang dan seluruh perdagangan besar lainnya yang menjual atas nama dan tanggungan pihak lain; kegiatan yang terlibat dalam penjualan dan pembelian bersama atau melakukan transaksi atas nama perusahaan, termasuk melalui internet; dan agen yang terlibat dalam perdagangan seperti bahan baku pertanian, binatang hidup; bahan baku tekstil dan barang setengah jadi; bahan bakar, bijih-bijihan, logam dan industri kimia, termasuk pupuk; makanan, minuman dan tembakau; tekstil, pakaian, bulu, alas kaki dan barang dari kulit; kayu-kayuan dan bahan bangunan; mesin, termasuk mesin kantor dan komputer, perlengkapan industri, kapal, pesawat; furnitur, barang keperluan rumah tangga dan perangkat keras; kegiatan perdagangan besar rumah pelelangan; agen komisi zat radioaktif dan pembangkit radiasi pengion. Termasuk penyelenggara pasar lelang komoditas. Tidak termasuk kegiatan perdagangan besar mobil dan sepeda motor, dimasukkan dalam golongan 451 s.d. 454."
1270,,"PERDAGANGAN BESAR HASIL PERTANIAN DAN HEWAN HIDUP",462,,,,"Golongan ini mencakup perdagangan besar serealia, buah oleaginous, bunga dan tanaman hias, hasil kehutanan lainnya, serta hewan hidup. Termasuk didalamnya perdagangan besar benih dan bibit tanaman, bibit hewan, kulit dan jangat, barang kulit, serta perdagangan besar bahan, sampah, sisaan pertanian dan hasil ikutan yang digunakan untuk makanan hewan."
1271,,"PERDAGANGAN BESAR HASIL PERTANIAN DAN HEWAN HIDUP",4620,,,,"Subgolongan ini mencakup :- Perdagangan besar padi-padian dan biji-bijian- Perdagangan besar buah yang mengandung minyak- Perdagangan besar bunga dan tumbuhan- Perdagangan besar tembakau yang tidak diolah- Perdagangan besar hewan hidup- Perdagangan besar kulit dan jangat- Perdagangan besar kulit (leather)- Perdagangan besar bahan baku, sampah, sisaan pertanian dan produk ikutan yang digunakan untuk makanan hewanTermasuk perdagangan besar benih dan bibit tanaman serta bibit hewan.Subgolongan ini tidak mencakup :- Perdagangan besar serat tekstil, lihat 4669"
1272,,"PERDAGANGAN BESAR PADI DAN PALAWIJA",46201,,,,"Kelompok ini mencakup usaha perdagangan besar hasil pertanian tanaman padi dan palawija sebagai bahan baku atau bahan dasar dari suatu kegiatan berikutnya, seperti padi, jagung, gabah, gandum dan seralia lainnya. Termasuk perdagangan besar benih dan bibit padi, palawija, dan serealia lainnya."
1273,,"PERDAGANGAN BESAR BUAH YANG MENGANDUNG MINYAK",46202,,,,"Kelompok ini mencakup usaha perdagangan besar hasil pertanian tanaman buah yang mengandung minyak, seperti kelapa dan kelapa sawit. Termasuk perdagangan besar bibit buah yang mengandung minyak."
1274,,"PERDAGANGAN BESAR BUNGA DAN TANAMAN HIAS",46203,,,,"Kelompok ini mencakup usaha perdagangan besar hasil pertanian tanaman bunga dan tanaman hias lainnya, seperti tanaman bunga mawar, melati, tanaman hias dan tumbuhan lainnya. Termasuk bibit tanaman hias, bunga dan sebagainya."
1275,,"PERDAGANGAN BESAR TEMBAKAU RAJANGAN",46204,,,,"Kelompok ini mencakup usaha perdagangan besar hasil pertanian tanaman tembakau, seperti daun tembakau yang belum diolah dan tembakau rajangan dan sebagainya."
1276,,"PERDAGANGAN BESAR BINATANG HIDUP",46205,,,,"Kelompok ini mencakup usaha perdagangan besar yang berhubungan dengan binatang hidup, seperti unggas, ternak potong dan ternak atau binatang hidup lainnya. Termasuk perdagangan besar bibit binatang."
1277,,"PERDAGANGAN BESAR HASIL PERIKANAN",46206,,,,"Kelompok ini mencakup usaha perdagangan besar hasil perikanan sebagai bahan baku atau bahan dasar dari kegiatan berikutnya, seperti ikan, udang, kepiting, tiram, mutiara, kerang, rumput laut, bunga karang dan kodok, termasuk ikan hidup, ikan hias, serta bibit hasil perikanan."
1278,,"PERDAGANGAN BESAR HASIL KEHUTANAN DAN PERBURUAN",46207,,,,"Kelompok ini mencakup usaha perdagangan besar hasil pengusahaan kehutanan, pengambilan hasil hutan dan perburuan, seperti bambu, kayu cendana, getah damar dan sejenisnya. Termasuk perdagangan besar bibit tanaman kehutanan."
1279,,"PERDAGANGAN BESAR KULIT DAN KULIT JANGAT",46208,,,,"Kelompok ini mencakup usaha perdagangan besar kulit dan kulit jangat, termasuk kulit imitasi."
1280,,"PERDAGANGAN BESAR HASIL PERTANIAN DAN HEWAN HIDUP LAINNYA",46209,,,,"Kelompok ini mencakup usaha perdagangan besar hasil pertanian dan hewan hidup lainnya yang belum diklasifikasikan di tempat lain. Termasuk dalam kelompok ini perdagangan besar bahan baku pertanian, sisaan dan sampah pertanian, dan hasil ikutan pertanian yang digunakan untuk makanan hewan, serta tanaman dan bibit tanaman lainnya yang belum disebutkan di atas."
1281,,"PERDAGANGAN BESAR MAKANAN, MINUMAN DAN TEMBAKAU",463,,,,"Golongan ini mencakup perdagangan besar buah-buahan dan sayuran, produk susu, telur dan produk telur, minyak yang dapat dimakan serta lemak hewani dan nabati, daging, produk perikanan, gula, coklat dan permen, produk roti, minuman, kopi, teh, coklat bubuk dan bumbu, serta produk tembakau. Golongan ini juga mencakup pembelian &quot;wine&quot; dalam jumlah besar dan pembotolan tanpa ada perubahan dan perdagangan besar makanan untuk hewan peliharaan."
1282,,"PERDAGANGAN BESAR BAHAN MAKANAN DAN MINUMAN HASIL PERTANIAN",4631,,,,"Subgolongan ini mencakup :- Perdagangan besar beras- Perdagangan besar buah dan sayuran- Perdagangan besar minyak dan lemak yang dapat dimakan bersumber dari nabati- Perdagangan besar kopi, teh, kakao dan rempahSubgolongan ini tidak mencakup :- Pencampuran anggur atau destilasi minuman keras, lihat 1101, 1102"
1283,,"PERDAGANGAN BESAR BERAS",46311,,,,"Kelompok ini mencakup usaha perdagangan besar beras untuk digunakan sebagai konsumsi akhir."
1284,,"PERDAGANGAN BESAR BUAH-BUAHAN",46312,,,,"Kelompok ini mencakup usaha perdagangan besar buah-buahan untuk digunakan sebagai konsumsi akhir, seperti jeruk, apel, pear, mangga dan buah lainnya."
1285,,"PERDAGANGAN BESAR SAYURAN",46313,,,,"Kelompok ini mencakup usaha perdagangan besar sayur-sayuran untuk digunakan sebagai konsumsi akhir, seperti bayam, kangkung, kol dan sayuran lainnya."
1286,,"PERDAGANGAN BESAR KOPI, TEH DAN KAKAO",46314,,,,"Kelompok ini mencakup usaha perdagangan besar kopi, teh dan kakao."
1287,,"PERDAGANGAN BESAR MINYAK DAN LEMAK NABATI",46315,,,,"Kelompok ini mencakup usaha perdagangan besar minyak dan lemak nabati, termasuk margarin serta produk berbahan dasar lemak nabati seperti non-dairy cream, dan produk sejenis lainnya."
1288,,"PERDAGANGAN BESAR BAHAN MAKANAN DAN MINUMAN HASIL PERTANIAN LAINNYA",46319,,,,"Kelompok ini mencakup usaha perdagangan besar bahan makanan dan minuman hasil pertanian lainnya, seperti tanaman bumbu-bumbuan dan rempah-rempah."
1289,,"PERDAGANGAN BESAR BAHAN MAKANAN DAN MINUMAN HASIL PETERNAKAN DAN PERIKANAN",4632,,,,"Subgolongan ini mencakup :- Perdagangan besar produk susu- Perdagangan besar telur dan hasil pengolahan telur- Perdagangan besar minyak dan lemak yang dapat dimakan bersumber dari hewani- Perdagangan daging dan pengolahan daging- Perdagangan besar produk perikanan"
1290,,"PERDAGANGAN BESAR DAGING SAPI DAN DAGING SAPI OLAHAN",46321,,,,"Kelompok ini mencakup usaha perdagangan besar daging sapi dan daging sapi olahan, termasuk daging sapi yang diawetkan."
1291,,"PERDAGANGAN BESAR DAGING AYAM DAN DAGING AYAM OLAHAN",46322,,,,"Kelompok ini mencakup usaha perdagangan besar daging ayam dan daging ayam olahan, termasuk daging ayam yang diawetkan."
1292,,"PERDAGANGAN BESAR DAGING DAN DAGING OLAHAN LAINNYA",46323,,,,"Kelompok ini mencakup usaha perdagangan besar daging dan daging olahan lainnya, termasuk daging lainnya yang diawetkan."
1293,,"PERDAGANGAN BESAR HASIL OLAHAN PERIKANAN",46324,,,,"Kelompok ini mencakup usaha perdagangan besar pengolahan hasil perikanan."
1294,,"PERDAGANGAN BESAR TELUR DAN HASIL OLAHAN TELUR",46325,,,,"Kelompok ini mencakup usaha perdagangan besar telur dan hasil olahan telur."
1295,,"PERDAGANGAN BESAR SUSU DAN PRODUK SUSU",46326,,,,"Kelompok ini mencakup usaha perdagangan besar susu dan produk susu."
1296,,"PERDAGANGAN BESAR MINYAK DAN LEMAK HEWANI",46327,,,,"Kelompok ini mencakup usaha perdagangan besar minyak dan lemak hewani."
1297,,"PERDAGANGAN BESAR BAHAN MAKANAN DAN MINUMAN HASIL PETERNAKAN DAN PERIKANAN LAINNYA",46329,,,,"Subgolongan ini mencakup perdagangan besar bahan makanan dan minuman hasil peternakan dan perikanan yang belum tercakup dalam kelompok 46321 s.d 46327, seperti perdagangan besar madu hasil peternakan lebah, dan pemungutan madu hasil hutan."
1298,,"PERDAGANGAN BESAR MAKANAN DAN MINUMAN LAINNYA DAN TEMBAKAU",4633,,,,"Subgolongan ini mencakup :- Perdagangan besar gula, cokelat dan kembang gula- Perdagangan besar produk roti- Perdagangan besar minuman- Perdagangan besar produk tembakauSubgolongan ini juga mencakup :- Pembelian anggur dalam jumlah besar dan pembotolan tanpa pengubahan (transformasi)- Perdagangan besar makanan untuk hewan piaraanSubgolongan ini tidak mencakup :- Pencampuran anggur atau destilasi minuman keras, lihat 1101, 1102"
1299,,"PERDAGANGAN BESAR GULA, COKLAT DAN KEMBANG GULA",46331,,,,"Kelompok ini mencakup usaha perdagangan besar gula, coklat, kembang gula dan sediaan pemanis."
1300,,"PERDAGANGAN BESAR PRODUK ROTI",46332,,,,"Kelompok ini mencakup usaha perdagangan besar produk roti, kue dan bakeri lainnya."
1301,,"PERDAGANGAN BESAR MINUMAN BERALKOHOL",46333,,,,"Kelompok ini mencakup usaha perdagangan besar minuman beralkohol, seperti minuman keras, anggur, malt, bir dan lain-lain."
1302,,"PERDAGANGAN BESAR MINUMAN NON ALKOHOL BUKAN SUSU",46334,,,,"Kelompok ini mencakup usaha perdagangan besar minuman non alkohol, seperti sari buah, jus, minuman ringan, air mineral, air kemasan, dan produk sejenis lainnya."
1303,,"PERDAGANGAN BESAR ROKOK DAN TEMBAKAU",46335,,,,"Kelompok ini mencakup usaha perdagangan besar hasil pengolahan tembakau dan bumbu rokok, seperti rokok kretek dan rokok putih."
1304,,"PERDAGANGAN BESAR MAKANAN DAN MINUMAN LAINNYA",46339,,,,"Kelompok ini mencakup usaha perdagangan besar makanan dan minuman lainnya, seperti tepung beras, tepung tapioka, premiks bakeri, karamel, madu olahan, kerupuk udang dan lain-lain. Termasuk pangan untuk keperluan gizi khusus (untuk bayi, anak, dan dewasa), bahan tambahan pangan (food additive), bahan penolong (processing aid), makanan ringan lainnya, serealia dan produk berbasis serealia yang belum diolah maupun telah diolah, minuman produk kedelai, makanan siap saji, serta perdagangan besar makanan untuk hewan piaraan dan makanan ternak."
1305,,"PERDAGANGAN BESAR BARANG KEPERLUAN RUMAH TANGGA",464,,,,"Golongan ini mencakup perdagangan besar barang rumah tangga, termasuk tekstil. Perdagangan besar tekstil, pakaian dan alas kaki termasuk pakaian olahraga, aksesori pakaian seperti sarung tangan, dasi, dan bros, benda dari bulu hewan dan payung. Golongan ini juga mencakup perdagangan besar barang rumah tangga lainnya, perabotan rumah tangga dan perlengkapan rumah tangga, perlengkapan lampu, peralatan makan dan pisau, benda-benda kaca dan keramik, benda-benda kayu, barang anyaman dan lain-lain, produk farmasi dan medis, parfum, kosmetik dan sabun, sepeda serta bagian dan aksesorinya, alat tulis, buku, majalah dan koran, barang fotografi dan optik (misalnya kacamata, teropong, kaca pembesar), video tape, CD, DVD, barang kulit dan perlengkapan perjalanan, jam tangan, jam meja atau dinding dan perhiasan, alat musik, permainan dan mainan, alat-alat olahraga. Tidak termasuk kaset dan video tape kosong, CD dan DVD kosong, dan furnitur atau perabot kantor."
1306,,"PERDAGANGAN BESAR TEKSTIL, PAKAIAN DAN ALAS KAKI",4641,,,,"Subgolongan ini mencakup :- Perdagangan besar benang rajut- Perdagangan besar kain- Perdagangan besar linen rumah tangga (bahan kain untuk keperluan rumah tangga) dan lain-lain- Perdagangan besar haberdashery, seperti jarum, benang jahit dan lain- lain- Perdagangan besar pakaian, termasuk pakaian olahraga- Perdagangan besar aksesoris pakaian seperti sarung tangan, dasi, penjepit- Perdagangan besar alas kaki- Perdagangan besar bahan-bahan berbulu- Perdagangan payungSubgolongan ini tidak mencakup :- Perdagangan besar perhiasan dan barang dari kulit, lihat 4649 - Perdagangan besar serat tekstil, lihat 4669"
1307,,"PERDAGANGAN BESAR TEKSTIL",46411,,,,"Kelompok ini mencakup usaha perdagangan besar hasil industri tekstil, seperti bermacam-macam tekstil/kain, kain batik dan lain-lain. Termasuk barang linen rumah tangga (bahan kain untuk keperluan rumah tangga) dan lain-lain."
1308,,"PERDAGANGAN BESAR PAKAIAN",46412,,,,"Kelompok ini mencakup usaha perdagangan besar pakaian, termasuk pakaian olahraga dan perdagangan besar aksesoris pakaian seperti sarung tangan, dasi dan penjepit. Termasuk perdagangan besar kaos kaki."
1309,,"PERDAGANGAN BESAR ALAS KAKI",46413,,,,"Kelompok ini mencakup usaha perdagangan besar alas kaki, seperti sepatu, sandal, selop dan sejenisnya."
1310,,"PERDAGANGAN BESAR BARANG LAINNYA DARI TEKSTIL",46414,,,,"Kelompok ini mencakup usaha perdagangan besar hasil industri tekstil, seperti tali-temali, karpet/permadani dari bahan tekstil, karung, macam- macam hasil rajutan dan barang jadi lainnya dari tekstil selain pakaian jadi."
1311,,"PERDAGANGAN BESAR TEKSTIL, PAKAIAN DAN ALAS KAKI LAINNYA",46419,,,,"Kelompok ini mencakup usaha perdagangan besar haberdashery, seperti jarum, benang jahit dan lain-lain, perdagangan besar barang dari kulit berbulu dan perdagangan besar payung."
1312,,"PERDAGANGAN BESAR ALAT TULIS DAN HASIL PENCETAKAN DAN PENERBITAN",4642,,,,"Subgolongan ini mencakup :- Perdagangan besar alat tulis, buku, majalah dan surat kabarSubgolongan ini tidak mencakup :- Perdagangan besar pita audio dan pita video kosong, lihat 4652 - Perdagangan besar peralatan siaran radio dan TV, lihat 4652- Perdagangan besar furnitur kantor, lihat 4659"
1313,,"PERDAGANGAN BESAR ALAT TULIS DAN GAMBAR",46421,,,,"Kelompok ini mencakup usaha perdagangan besar peralatan tulis dan gambar, seperti buku tulis, buku gambar, alat tulis dan alat gambar."
1314,,"PERDAGANGAN BESAR BARANG PERCETAKAN DAN PENERBITAN DALAM BERBAGAI BENTUK",46422,,,,"Kelompok ini mencakup usaha perdagangan besar barang percetakan dan penerbitan dalam berbagai bentuk, seperti buku-buku, majalah, surat kabar dan lain-lain."
1315,,"PERDAGANGAN BESAR ALAT FOTOGRAFI DAN BARANG OPTIK",4643,,,,"Subgolongan ini mencakup :- Perdagangan besar alat fotografi dan barang optik (seperti kaca mata, teropong dan kaca pembesar)Subgolongan ini tidak mencakup :- Perdagangan besar pita audio dan pita video kosong, lihat 4652 - Perdagangan besar peralatan siaran radio dan TV, lihat 4652- Perdagangan besar furnitur kantor, lihat 4659"
1316,,"PERDAGANGAN BESAR ALAT FOTOGRAFI DAN BARANG OPTIK",46430,,,,"Kelompok ini mencakup usaha perdagangan besar alat fotografi dan barang optik (seperti kaca mata, teropong dan kaca pembesar)."
1317,,"PERDAGANGAN BESAR FARMASI, OBAT, DAN KOSMETIK",4644,,,,"Subgolongan ini mencakup :- Perdagangan besar barang farmasi dan obat-obatan- Perdagangan besar parfum, kosmetik dan sabun- Perdagangan besar bahan baku farmasi dan obat tradisional"
1318,,"PERDAGANGAN BESAR OBAT FARMASI UNTUK MANUSIA",46441,,,,"Kelompok ini mencakup usaha perdagangan besar obat farmasi untuk keperluan rumah tangga, seperti obat-obatan dan suplemen kesehatan untuk manusia."
1319,,"PERDAGANGAN BESAR OBAT TRADISIONAL UNTUK MANUSIA",46442,,,,"Kelompok ini mencakup usaha perdagangan besar obat tradisional atau jamu dan suplemen kesehatan untuk manusia."
1320,,"PERDAGANGAN BESAR KOSMETIK UNTUK MANUSIA",46443,,,,"Kelompok ini mencakup usaha perdagangan besar kosmetik untuk manusia seperti parfum, sabun, bedak dan lainnya."
1321,,"PERDAGANGAN BESAR OBAT FARMASI UNTUK HEWAN",46444,,,,"Kelompok ini mencakup usaha perdagangan besar obat farmasi untuk hewan yang meliputi kegiatan pemasukan, pengeluaran dan distribusi."
1322,,"PERDAGANGAN BESAR OBAT TRADISIONAL UNTUK HEWAN",46445,,,,"Kelompok ini mencakup usaha perdagangan besar obat tradisional atau obat alami untuk hewan yang meliputi kegiatan pemasukan, pengeluaran dan distribusi."
1323,,"PERDAGANGAN BESAR KOSMETIK UNTUK HEWAN",46446,,,,"Kelompok ini mencakup usaha perdagangan besar kosmetik untuk hewan, termasuk parfum, shampo, sabun, bedak, krim atau lotion, dan lainnya, yang meliputi kegiatan pemasukan, pengeluaran dan distribusi."
1324,,"PERDAGANGAN BESAR BAHAN FARMASI UNTUK MANUSIA DAN HEWAN",46447,,,,"Kelompok ini mencakup usaha perdagangan besar bahan baku farmasi baik untuk manusia maupun hewan."
1325,,"PERDAGANGAN BESAR BAHAN BAKU OBAT TRADISIONAL UNTUK MANUSIA DAN HEWAN",46448,,,,"Kelompok ini mencakup usaha perdagangan besar bahan baku obat tradisional baik untuk manusia maupun hewan."
1326,,"PERDAGANGAN BESAR BARANG KEPERLUAN RUMAH TANGGA LAINNYA",4649,,,,"Subgolongan ini mencakup :- Perdagangan besar furnitur rumah tangga- Perdagangan besar perlengkapan rumah tangga- Perdagangan besar elektronik konsumen, seperti perlengkapan radio dan TV, perekam dan pemutar CD dan DVD, perlengkapan stereo danperangkat video game- Perdagangan besar alat-alat penerangan- Perdagangan besar alat-alat makan- Perdagangan besar piring porselen dan gelas- Perdagangan besar barang dari kayu, barang dari anyaman dan barang dari gabus dan lain-lain- Perdagangan besar sepeda dan bagian-bagiannya serta aksesorinya- Perdagangan besar rekaman suara dan video dalam kaset, CD dan DVD - Perdagangan besar barang dari kulit dan aksesori perjalanan- Perdagangan besar jam tangan, jam dinding dan perhiasan- Perdagangan besar alat musik, mainan, alat permainan dan barang olahragaSubgolongan ini tidak termasuk :- Perdagangan besar pita audio dan pita video kosong, lihat 4652 - Perdagangan besar peralatan siaran radio dan TV, lihat 4652- Perdagangan besar furnitur kantor, lihat 4659"
1327,,"PERDAGANGAN BESAR PERALATAN DAN PERLENGKAPAN RUMAH TANGGA",46491,,,,"Kelompok ini mencakup usaha perdagangan besar peralatan dan perlengkapan rumah tangga, seperti perabot rumah tangga (furniture), peralatan dapur dan memasak, lampu dan perlengkapannya, elektronik konsumen seperti radio, televisi, perekam dan pemutar CD dan DVD, perlengkapan stereo, konsol video game; alat penerangan, bermacam peralatan makan minum porselen dan gelas, peralatan sendok, pisau, garpu, peralatan dari kayu, barang dari anyaman dan barang dari gabus, karpet dan sebagainnya."
1328,,"PERDAGANGAN BESAR ALAT OLAHRAGA",46492,,,,"Kelompok ini mencakup usaha perdagangan besar berbagai alat olahraga (termasuk sepeda dan bagian-bagiannya serta aksesorinya)."
1329,,"PERDAGANGAN BESAR ALAT MUSIK",46493,,,,"Kelompok ini mencakup usaha perdagangan besar berbagai alat musik, baik alat musik tradisional maupun alat musik modern, seperti kecapi, seruling bambu, calung, angklung, kulintang, gamelan, set, rebab, rebana, tifa, sasando, seruling (flute), saxophone, harmonika, trombone, gitar, mandolin, ukulele, harpa, bass, gambus, biola, cello, piano/organ, drum set dan garpu tala."
1330,,"PERDAGANGAN BESAR PERHIASAN DAN JAM",46494,,,,"Kelompok ini mencakup usaha perdagangan besar berbagai barang perhiasan dan jam."
1331,,"PERDAGANGAN BESAR ALAT PERMAINAN DAN MAINAN ANAK-ANAK",46495,,,,"Kelompok ini mencakup usaha perdagangan besar berbagai alat permainan dan mainan anak-anak baik permainan tradisional maupun modern seperti boardgame."
1332,,"PERDAGANGAN BESAR BERBAGAI BARANG DAN PERLENGKAPAN RUMAH TANGGA LAINNYA YTDL",46499,,,,"Kelompok ini mencakup usaha perdagangan besar berbagai barang dan perlengkapan rumah tangga lainnya, seperti barang-barang dari kulit, koper, alat-alat pembersih dan sebagainya. Termasuk rekaman suara dan video dalam kaset, CD dan DVD, barang kimia untuk rumah tangga (deterjen, pembersih lantai dan lain-lain), serta alat peraga pendidikan."
1333,,"PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPANNYA",465,,,,"Golongan ini mencakup perdagangan besar komputer, perlengkapan telekomunikasi, mesin-mesin khusus untuk semua jenis industri dan mesin- mesin dengan tujuan umum. Cakupan perdagangan besar di sini adalah untuk keperluan kantor, pertanian, navigasi, industri, pemeriksa komputer, alat-alat pengukuran dan perlengkapan perkakas mesin. Golongan ini mencakup perdagangan besar beberapa peralatan, software, media kosong dan perekam."
1334,,"PERDAGANGAN BESAR KOMPUTER, PERLENGKAPAN KOMPUTER DAN PIRANTI LUNAK",4651,,,,"Subgolongan ini mencakup :- Perdagangan besar komputer dan pelengkapan komputer - Perdagangan besar piranti lunakSubgolongan ini tidak mencakup :- Perdagangan besar bagian-bagian elektronik, lihat 4652- Perdagangan besar peralatan dan mesin kantor (kecuali komputer dan perlengkapannya), lihat 4659- Perdagangan besar mesin yang dikendalikan komputer, lihat 4659"
1335,,"PERDAGANGAN BESAR KOMPUTER DAN PERLENGKAPAN KOMPUTER",46511,,,,"Kelompok ini mencakup usaha perdagangan besar komputer dan pelengkapan komputer."
1336,,"PERDAGANGAN BESAR PIRANTI LUNAK",46512,,,,"Kelompok ini mencakup usaha perdagangan besar piranti lunak."
1337,,"PERDAGANGAN BESAR SUKU CADANG ELEKTRONIK DAN PERALATAN TELEKOMUNIKASI DAN BAGIAN-BAGIANNYA",4652,,,,"Subgolongan ini mencakup :- Perdagangan besar katup dan tabung elektronik- Perdagangan besar peralatan semi konduktor- Perdagangan besar mikrochip dan IC- Perdagangan besar PCB- Perdagangan besar disket, pita audio dan pita video kosong, CD dan DVD kosong- Perdagangan besar perlengkapan telepon dan komunikasiSubgolongan ini tidak mencakup :- Perdagangan besar rekaman suara dan video dalam kaset, CD dan DVD, lihat 4649- Perdagangan besar elektronik konsumen, lihat 4649- Perdagangan besar komputer dan perlengkapan komputer, lihat 4651"
1338,,"PERDAGANGAN BESAR SUKU CADANG ELEKTRONIK",46521,,,,"Kelompok ini mencakup usaha perdagangan besar katup dan tabung elektronik, peralatan semi konduktor, mikrochip dan IC dan PCB."
1339,,"PERDAGANGAN BESAR DISKET, FLASH DRIVE, PITA AUDIO DAN VIDEO, CD DAN DVD KOSONG",46522,,,,"Kelompok ini mencakup usaha perdagangan besar disket, flash drive, pita audio dan pita video kosong, CD dan DVD kosong."
